id,cluster_id,cluster_name,distance_from_centroid
1066,0,High-Quality Compounders,0.18154849840682344
1079,0,High-Quality Compounders,0.1798503254502785
1042,0,High-Quality Compounders,0.09887615627071122
341,0,High-Quality Compounders,0.16212008537676198
140,0,High-Quality Compounders,0.18247118942325694
1102,0,High-Quality Compounders,0.15907959700529578
551,0,High-Quality Compounders,0.19025943619400448
707,0,High-Quality Compounders,0.2661217730746451
1080,0,High-Quality Compounders,0.1798503254502785
642,0,High-Quality Compounders,0.07749532383880285
141,0,High-Quality Compounders,0.18247118942325694
587,0,High-Quality Compounders,0.18465496440253984
2,0,High-Quality Compounders,0.18439010297183764
4,0,High-Quality Compounders,0.1845287395407403
864,0,High-Quality Compounders,0.6556652753025449
438,0,High-Quality Compounders,0.14912629762235052
258,0,High-Quality Compounders,0.18471067123785093
960,0,High-Quality Compounders,0.18544625957804056
246,0,High-Quality Compounders,0.18525750000697094
69,0,High-Quality Compounders,0.06760970764761257
37,0,High-Quality Compounders,0.09464375567601982
792,0,High-Quality Compounders,0.13896245236983476
1082,0,High-Quality Compounders,0.1807310820771413
1081,0,High-Quality Compounders,0.1807310820771413
657,0,High-Quality Compounders,0.09538226334199106
378,0,High-Quality Compounders,0.1296273757063004
426,0,High-Quality Compounders,0.13721374494787336
600,0,High-Quality Compounders,0.12008687315662611
390,0,High-Quality Compounders,0.15138335125782632
914,0,High-Quality Compounders,0.05696333594549864
631,0,High-Quality Compounders,0.18273452982713162
342,0,High-Quality Compounders,0.16629130808544815
294,0,High-Quality Compounders,1.0392824859698298
1127,0,High-Quality Compounders,0.17401536398864226
828,0,High-Quality Compounders,0.2808464271812537
57,0,High-Quality Compounders,0.06760970764761257
610,0,High-Quality Compounders,0.18356094900306685
643,0,High-Quality Compounders,0.07056692967254763
948,0,High-Quality Compounders,0.13078018293356536
414,0,High-Quality Compounders,0.14811783328359712
282,0,High-Quality Compounders,0.17109566688250957
118,0,High-Quality Compounders,0.1766710463417949
119,0,High-Quality Compounders,0.1766710463417949
936,0,High-Quality Compounders,0.29851464059847355
816,0,High-Quality Compounders,0.1655556217660983
1151,0,High-Quality Compounders,0.14912484235815085
863,0,High-Quality Compounders,0.6556652753025449
306,0,High-Quality Compounders,0.4301553146580433
270,0,High-Quality Compounders,0.10079409984554466
804,0,High-Quality Compounders,0.09734542469526743
840,0,High-Quality Compounders,0.18294149478693408
588,0,High-Quality Compounders,0.18456500670625467
